project_id,project_category,main_applicant_institution,main_applicant_function,main_applicant_first_name,main_applicant_surname,main_applicant_laboratory_name,main_applicant_postcode,main_applicant_city,project_title,project_acronym,project_abstract,start_date,project_duration_months,total_budget_requested
CONTRIBUTE/FAIR-CITIES,Contribute,EPFL,Assistant Professor (tenure-track),Gabriele,Manoli,EPFL ENAC IA URBES,1015,Lausanne,FAIRifying Urban Climate Modeling for Greening Cities (FAIR-CITIES),FAIR-CITIES,"This project aims to translate the UT&C model to an open-source programming language which concurrently enables high computational efficiency and modularity. UT&C is a widely used urban climate model with a detailed vegetation scheme, thus being the perfect tool to inform urban greening strategies in cities around the world. However, the current code is written in a proprietary language and it is computationally heavy. By translating the UT&C code into Python and making it more open, FAIR, and user-friendly, this project will open up to new scientific opportunities (e.g., city-scale simulations, model coupling), facilitate a community-based development, and increase its accessibility to the broader urban climate and urban planning communities.",2025-01-01,12,30000
CONTRIBUTE/FIRE,Contribute,EPFL,PostDoc,Aurèle,Barrière,EPFL IC IINFCOM SYSTEMF,1015,Lausanne,Open Mechanized Foundations for JavaScript Regular Expressions (FiRE),FiRE,"One of the main forms of ORD in the programming languages research community is two-sided mechanized language specifications (the definition in a proof assistant of the semantics of a language). These mechanized specifications have many benefits: they can be extracted to an executable reference implementation, and used by both implementers (to verify compilers, interpreters and optimizations) and by users (to guarantee the correctness of programs in that programming language).We propose to contribute the first open, two-sided, mechanized specification of JavaScript regular expressions (regexes). The lack of such mechanization is harming the research community: previous work has mechanized other parts of the JavaScript language but not regexes, and as a consequence researchers use paper-only semantics for JavaScript regexes. These paper semantics are neither executable nor reusable and often incorrect. We will translate to Coq the part of the open ECMAScript standard that describes JavaScript regexes; extract this mechanization to a reference implementation in OCaml; and validate our mechanization with Coq proofs.Our project will provide a solid foundation for JavaScript regex research to build upon our Coq mechanization, including proving the correctness of regex optimizations, detecting regexes with security issues (ReDOS), or proving the correctness of entire regex engines. Our project will allow the open JavaScript community to test their regex engines.",2024-02-13,12,30000
CONTRIBUTE/FLAKE,Contribute,EPFL,Operational Director,Natacha,Tofield-Pasche,EPFL ENAC LIMNC,1015,Lausanne,FAIRifying LéXPLORE: enhancing open research data pipelines for Advanced LaKe SciencE,FLAKE,"LéXPLORE platform (LP) is as an innovative, open-water infrastructure on Lake Geneva, where multidisciplinary data are acquired at high frequency. Datalakes (DL) is a web-based open access data platform that provides, for LP, seven datasets in real-time. We have identified two challenges that could limit the FAIR approach to the data. This project aims at addressing them by: a) enhancing the robustness of the LP data transfer pipelines and b) enhancing DL data quality by prototyping a collaborative QA/QC Solution. The first objective is to strengthen the LP data pipeline by decoupling the data gathering from the data processing functions. The resulting simplified distribution of responsibilities will facilitate long-term maintenance and secure the system's long-term reliability. The second objective aims at designing a prototype of a collaborative QA/QC tool. For this, we will collaborate closely with the LP community, by organising two workshops and a QA/QC hackathon. The developed prototype will allow domain experts to efficiently assess and flag data quality issues, in order to improve accuracy and reliability of sensor data. This project will involve the operational LP team, the DL core developers, and research software engineers from ENAC-IT4R. The proposed improvements will help to strategically maintain and elevate LP's high scientific impacts in the long-term. DL will continue to guide the lake research community towards embracing Open Research Data practices.",2025-01-01,6,30000
CONTRIBUTE/GLOVDH,Contribute,ETH Zürich,Postdoktorand,Matthias,Schartner,Chair of Space Geodesy,8093,Zürich,Global Geodetic VLBI Data Hub (GloVDH),GloVDH,"Geodetic Very Long Baseline Interferometry (VLBI) stands at the forefront of precise measurement of Earth's rotation and orientation.<br/><br/>At the core of geodetic VLBI operations lies the International VLBI Service for Geodesy and Astrometry (IVS), a collaborative platform that unites institutions, observatories, and research agencies worldwide.<br/><br/>Members of the IVS can submit VLBI-related files to the IVS, such as reports and logs that include a variety of performance metrics.<br/><br/>This project aims to enhance geodetic VLBI research by curating these existing performance metrics submitted to the IVS into a common database. The database will consist of three tables, monitoring performance on a session-, station-, and source basis. It will be openly available via a common web interface and an Application Programming Interface (API). The session-based database will serve as a monitoring tool for enabling swift adjustments to observing programs. For this purpose, comprehensive online plotting tools will be developed as part of the web interface. The station and source-based databases can be used to optimize observing plans by excluding poorly performing elements and prioritizing high-performing ones.<br/><br/>Thus, this project will enhance data accuracy and foster collaboration within the VLBI community. The project's technological advancements will contribute to open research data initiatives and promote scientific excellence in Earth sciences and geodesy, especially for the IVS community.",2024-02-01,9,29991.2
CONTRIBUTE/GPM-API,Contribute,EPFL,PhD Student,Gionata,Ghiggi,EPFL ENAC IIE LTE,1020,Renens,GPM-API: A Python Interface to Access the Global Precipitation Measurement Mission Satellites Open Data Archive,GPM-API,"This proposal aims to finalize a software (GPM-API) to increase the findability and accessibility of the satellites’ measurements from the Global Precipitation Measurement Mission (GPM).<br/><br/>To this end, an Application Programming Interface (API) has been developed to facilitate the download, processing, manipulation, and visualization of such heterogenous data archive which sizes several petabytes.<br/><br/>The GPM archive is composed of various product Levels, ranging from raw measurements collected by a constellation of 34 passive microwave sensors and 2 weather radars (L1), intermediate geophysical retrieval products (L2), to multi-satellites merged datasets (L3) which provides a global 25-year legacy data records of precipitation.<br/><br/>The GPM-API provides a simple-to-use interface to search and download the GPM files of interest, to open the satellite products with a single line of code in an analysis-ready-data format following the Climate and Forecast (CF) conventions, as well as to facilitate the distributed processing of the data archive to gain in computational efficiency.<br/><br/>In conclusion, this project will enable to openly share the GPM-API, so that it will (1) considerably increase scientist productivity by eliminating the weeks/months currently required for satellite data wrangling, (2) widen the GPM users’ community, and (3) make the GPM archive easily exploitable also for educational purposes.",2023-07-03,6,30000
CONTRIBUTE/GRAND TOUR,Contribute,ETH Zürich,Prof,Marco,Hutter,Robotic Systems Lab,8092,Zurich,Fostering Research on Mobile Robotics with High-Quality Data and Open Tooling (GrandTour),Grand Tour,"Mobile ground robots have become increasingly popular in academia and various industrial applications. However, unlike other domains like aerial robotics, autonomous driving, and construction, there is currently no high-quality, large-scale dataset or reliable benchmark established in this field, nor the tooling available to do so. Creating such a dataset would be immensely valuable for researchers and developers in fostering research on robust and practical algorithms across diverse environments. Moreover, the development of a standardized benchmarking platform would promote fair comparisons between different approaches, fostering innovation and facilitating the rapid progress of mobile ground robot research. Motivated by this, we propose to collect and share a high-quality, versatile, large-scale robotic dataset, “GrandTour”, with scalable and automated tooling– focusing on legged robots in addition to a set of benchmarks and the necessary tooling.",2024-03-01,12,30000
CONTRIBUTE/MAST,Contribute,EPFL,PhD Student,Mathias,Haindl Carvallo,EPFL ENAC IIC EESD,1015,Lausanne,MAST (MAsonry Shake-Table database) - A comprehensive database and collaborative resource for advancing seismic assessment of unreinforced masonry buildings,MAST,"Every year, building collapses due to earthquakes cause thousands of deaths. Due to the lack of design to resist seismic forces, unreinforced masonry buildings are very prone to collapse. By developing an open-access web-based platform that will contain the first-ever consolidated database for shake-table tests on complete unreinforced masonry buildings, this project aims to contribute to addressing this critical issue. The platform will make comprehensive data from over seventy experimental campaigns conducted over the last 30 years easily accessible to the earthquake engineering community, including researchers and practitioners. As a result, by facilitating data exchange and collaboration, this platform will play a key role in advancing our understanding of the seismic behavior of unreinforced masonry structures. The platform may be used by researchers and practitioners as a valuable reference to benchmark their models, enhance predictive capabilities, and encourage improved design and retrofitting practices. Overall, the development of this platform has enormous potential to reduce seismic risk and increase the resilience of unreinforced masonry buildings, hence increasing public safety in earthquake-prone areas.",2023-10-01,7,30000
CONTRIBUTE/MISHMASH,Contribute,ETH Zürich,Doctoral Student,Lina,Kim,Food Systems Biotechnology,8006,Zürich,MiShMASh: Microbiome sequence and metadata availability standards,MISHMASH,"The emerging field of microbiome research is driven by large-scale, high-dimensional datasets. Unrestricted access to sequence data and metadata is necessary for scientific innovation and re-use, and is consequently required by the scientific community, certain journals, and funding agencies.<br/><br/>Unfortunately, many microbiome studies suffer from poor data accessibility and metadata interoperability, hampering scientific advancement.<br/><br/>The project aims to close open research data (ORD) gaps in the microbiome field by addressing (1) the ineffectiveness of sequence data availability statements, which leads to poor reporting, reproducibility, and re-use; and (2) lack of consistent metadata standards for annotating microbial ORD.<br/>We propose a two-pronged solution in (1) developing a tier-based FAIR ORD standard for the field, and (2) building software to assess adherence to FAIR ORD standards. This project would contribute open resources intended for use by a diverse range of users, including researchers, journals, and funding agencies.<br/><br/>Combined with the tier-based system, validation software will enable users to assess how well microbiome studies meet data availability and metadata standards. The tools and guidelines developed here will improve sequence data and metadata reporting practices for greater accessibility, interoperability, and future re-use.",2022-10-01,12,30095
CONTRIBUTE/MMS,Contribute,EPFL,Mr.,Mati Ullah,Shah,EPFL ENAC IIC EESD,1015,Lausanne,MMS (Masonry MicroStructures database) - A 3D masonry microstructures database for advancing numerical research on irregular stone masonry structures,MMS,"Stone masonry is an eco-friendly construction material, but its use has declined due to its vulnerability to earthquakes, mainly because of the poor arrangement of its microstructure. The microstructure includes the shape, size, and arrangement of stone units, which vary based on geographic, temporal, and material factors. Current building codes cannot fully account for this variability, and experimental studies are costly and impractical due to the diversity of masonry typologies. Numerical studies offer a solution, but creating realistic microstructures for modeling irregular stone masonry is complex and time-consuming. As a result, simplified microstructures are often used in simulations, which fail to capture the complexities of irregular masonry walls. To address this challenge, we have developed a 3D masonry microstructures database ready to use in numerical simulations. To enhance accessibility and usability, this project aims to create a web-based platform hosting this curated database of 3D microstructures and their geometric indices. The proposed web-based platform will also feature a tool for evaluating masonry quality using the Masonry Quality Index (MQI) from 2D images, promoting the preservation of historic structures and sustainable construction practices. Additionally, the platform will enable researchers to contribute and document new 3D microstructures, fostering collaboration and advancing numerical research on stone masonry.",2024-12-01,6,30000
CONTRIBUTE/NEST-BOT,Contribute,Empa,Deputy Lab Head,Philipp,Heer,Urban Energy Systems Lab,8600,Dübendorf,Integrating and Enhancing Building Data for Advanced Research: NEST-Bot,NEST-Bot,"The built environment generates complex and heterogeneous data, categorized into 3 main types: structural and architectural information, performance data (time series of energy consumption, temperatures, or occupancy), and administrative records (contracts, costs). Despite the critical value of ORD in fostering scalable applications, significant challenges persist, including fragmented data storage, heterogeneity in standards, and inadequate metadata documentation, which complicates data contextualization and accessibility. This project, NEST-Bot, aims to address these challenges by enhancing data discoverability through an automated integration layer that populates a knowledge graph.
NEST-Bot will train a LLM to serve as an intuitive interface for stakeholders-ranging from academic researchers and data scientists to HVAC engineers, architects, and automation experts-to access NEST-related data. A key aspect of the project involves the automatic generation of the integration layer from existing repositories, allowing the LLM to retrieve complex, heterogeneous datasets via natural language queries.
This innovative approach aims to streamline data retrieval, enhance data quality, reduce redundancies, and make ORD practices more scalable and beneficial to the building sector. By linking and organizing diverse repositories, NEST-Bot will enable seamless interaction with complex datasets, establishing new standards for data integration and ORD in building automation and research.
We aim to simplify data access through a user-friendly interface, enabling stakeholders to query relevant NEST measurements via natural language. This MVP will focus on core features such as retrieving specific sensor data and providing contextual information for easier interpretation. Our goal is to enhance data contextualization, improve data discovery, and support research in building and energy management. Furthermore, we intend to lay the foundation for incorporating additional data silos into the NEST-Bot ecosystem.",2025-01-01,12,30000
CONTRIBUTE/NGSDATABOOSTER,Contribute,ETH Zürich,NA,Hubert,Rehrauer,NA,NA,NA,NGSDataBooster: Simplifying and democratizing the open deposition of Next Generation Sequencing Data,NGSDataBooster,NA,NA,NA,15000
CONTRIBUTE/OGAIS,Contribute,EPFL,MER,Jan,Skaloud,EPFL ENAC IIE CRYOS,1015,Lausanne,OGAIS – An Open Georeferencing of Airborne Image Spectrometry,OGAIS,"This project aims to synergize with the development of a new high resolution airborne image spectrometer (AIS), made by NASA-JPL for a consortium of Swiss research institutions, to propose new tools for open and precise georeferencing of hyperspectral data, used to measure terrestrial processes of the Earth system at regional scale. The concrete outcomes are the following: a) a definition of new open format for sensor stabilization that is used together with raw navigation data in the process of georeferencing for this instrument while involving collaboration with the International Society of Remote Sensing (ISPRS), b) the development of a new tool to annotate known point position in the data for testing and calibration, c) the extension of EPFL public service of sensor-motion estimation and geometrical calibration by including new modalities and software components specific to line-scanners of this type, d) the release of first data sets with reference processing and a dissemination through a peer-review publication and a webinar.",2023-11-01,12,30000
CONTRIBUTE/OPAS,Contribute,EPFL,MER,Jan,Skaloud,EPFL ENAC IIE CRYOS,1015,Lausanne,Open Processing of Airborne imaging Spectrometry,OPAS,"Developed by NASA-JPL and operated by the consortium of Swiss universities - ARES, the AVIRIS-4 is the most advanced airborne imaging spectrometer (AIS) currently operational in Europe. In agreement with NASA-JPL, ARES will make all data produced by AVIRIS-4 publicly available and is building an environment of open tools to make the processing of this data accessible, interoperable and reproducible, in line with FAIR principles. During our previous ORD-Contribute project, OGAIS, we developed an open tool which can be used to label point correspondences in AIS images by hand. This tool enables the airborne remote sensing community to obtain ground truth “tie-points” for evaluating the quality of the scene reconstruction and/or improving the image geo-referencing accuracy. After the first flights of AVIRIS-4 during the spring-summer this year, a clear need emerged for the mission at high resolution (0.3 – 1 m/pixel) to obtain point correspondence labels without human intervention in order to i) improve the conventional (direct) georeferencing, ii) automate the quality assessment on all current and future missions featuring more than couple flight-lines (>0.5 TB / mission). This project therefore proposes to support ARES ORD practices by providing tools to automate the detection of tie-points as spatial constraints in overlapping AVIRIS-4 images, and integrate them in EPFL’s open, on-line georeferencing service ODYN to maximise findability.",2025-01-06,12,30000
CONTRIBUTE/OPENJMP,Contribute,ETH Zürich,Associate Professor,Elizabeth,Tilley,Global Health Engineering,8092,Zurich,Open JMP - unlocking the potential of global indicator data,openjmp,"Decades of manual data structuring have resulted in the most comprehensive and internationally-comparable information on Water, Sanitation, and Hygiene (WASH) coverage. The WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (JMP) maintains the database. The data are shared openly but in spreadsheet-based proprietary software, not following FAIR data principles. Data stored in spreadsheets underutilizes the potential those data could have for purposes other than the national, regional and global progress monitoring in WASH.

We will approach this unused potential by developing open-source data and software packages that follow FAIR data principles to share the data within the WASH community and beyond. In the process, we engage with the community by hosting free learning events using open-source computational tools, enabling community members to further competencies aligned with FAIR data principles.",2023-07-01,12,29905
CONTRIBUTE/OPENMIC&AI,Contribute,EPFL,Scientific collaborator,Jonathan,Dong,EPFL STI IEM LIB,1015,Lausanne,EPFL Workshop on Open Microscopy and AI: First Edition,OpenMic&AI,"Imaging science and computational microscopy are rapidly advancing, driven by novel interdisciplinary approaches involving deep learning algorithms. However, the increasing complexity and cost of these cutting-edge imaging systems and algorithms often make them inaccessible for non-experts, low-resource settings, and teaching applications. To address this challenge, we would like to organize a one-day workshop on open-source microscopy and AI to bring together the smart-microscopy community.The workshop will showcase a full pipeline of open-source solutions for optical imaging, from hardware to computational reconstruction and deep learning-based analysis. It will provide hands-on experience for participants to assemble an open microscope (OpenSIM, OpenUC2), perform reconstructions (Pyxu), and analyze images (DeepImageJ). It aims to empower researchers and teachers to take full control of their imaging pipeline and iterate rapidly on new solutions. Beyond this event, the project seeks to drive a broader and lasting impact on the community. Educational resources such as Jupyter notebooks and hardware kits will be developed and made publicly available to support teaching at EPFL and beyond.By showcasing a comprehensive open-source ecosystem for microscopy, this initiative aims at making state-of-the-art imaging technologies more accessible and further catalyze the growth of an open, interdisciplinary microscopy community.",2024-09-01,6,30000
CONTRIBUTE/OPENSENSE,Contribute,EPFL,Prof.,Josie,Hughes,EPFL STI IGM CREATE-LAB,1015,Lausanne,Enabling Open Datasets of Soft Tactile Sensor Characterization through Openly Available Hardware and Software (OpenSense),OpenSense,"The rapid development of soft materials with incorporated sensing properties has diverse applications in wearable devices, healthcare, and soft robotics. Soft sensors can detect strain, force, temperature, humidity, and more, emulating human skin's sensing abilities. This interdisciplinary field combines robotics, materials science, and data science. However, developing soft sensors is challenging due to the linked mechanical and sensing properties, requiring simultaneous data reporting for optimization. To address this, we require open access data-sets that enable comparison and analysis of different sensors. Current data collection methods using expensive equipment and post-processing hinder progress. We propose a novel hardware solution based upon low-cost 3D printer platforms which could offer promising solutions to foster and enable this ORD practice. In this project we seek to formally contribute the openly available hardware design and software to enable curation of data is a data format that is aligned with ORD best practises. This will involve making the designs and software openly available and findable under FAIR principles and providing the necessary documentation in a manner that is easy to update. The software scripts must be developed to generate output data that is FAIR compliant and best supports ORD practices. A second aspect of this project is to disseminate the enabling technologies by participating in key workshops on the topic of ‘open hardware’.",2024-01-01,12,30000
