"project_id","index","wp_identifier","wp_title"
"CONTRIBUTE/GRAND TOUR",2,"WP3","Release Phase"
"CONTRIBUTE/MAST",0,"WP1","Platform preparation"
"CONTRIBUTE/MAST",1,"other","Data preparation and platform back-end set up"
"CONTRIBUTE/MAST",2,"other","Python code packaging (plotting functions)"
"CONTRIBUTE/MAST",3,"other","Platform specifications - UI/UX design"
"CONTRIBUTE/MAST",4,"other","Intermediate tasks (IT-1) - Checking of adapted plotting functions and user community survey"
"CONTRIBUTE/MAST",5,"WP2","Web interface implementation"
"CONTRIBUTE/MAST",6,"other","Database overview"
"CONTRIBUTE/MAST",7,"other","Querying database through reference or building list"
"CONTRIBUTE/MAST",8,"other","Single building view"
"CONTRIBUTE/MAST",9,"other","Intermediate tasks (IT-2) - Check building visualization and associated display features"
"CONTRIBUTE/MAST",10,"WP3","Platform deployment, enhancement and dissemination"
"CONTRIBUTE/MAST",11,"other","Deployment"
"CONTRIBUTE/MAST",12,"other","Intermediate tasks (IT-3) - Involve stakeholders in quality assessment"
"CONTRIBUTE/MAST",13,"other","Polish and final testing"
"CONTRIBUTE/MAST",14,"other","Data upload / checker"
"CONTRIBUTE/MAST",15,"WP4","Documentation and dissemination"
"CONTRIBUTE/MISHMASH",0,"other","Tier-based ORD standards for microbiome sequence data and metadata"
"CONTRIBUTE/MISHMASH",1,"other","Software packages to automate evaluation of data and metadata reporting in publications and ORD repositories."
"CONTRIBUTE/MISHMASH",2,"other","Evaluation of existing microbiome publications by fidelity to named ORD standards"
"CONTRIBUTE/MMS",0,"WP1","Lay out the foundation of the platform"
"CONTRIBUTE/MMS",1,"WP2","Development of web-based interactive platform"
"CONTRIBUTE/MMS",2,"WP3","Platform pre-launching testing"
"CONTRIBUTE/MMS",3,"WP4","Platform launching, promotion, and user-manual guide documentation"
"CONTRIBUTE/NEST-BOT",0,"WP1","Identify use cases for NEST-Bot: Enhance stakeholder engagement to clarify existing use cases, refine evaluation metrics, get a basic set of real queries and gather detailed insights for conceptualizing the integration layer and the LLM"
"CONTRIBUTE/NEST-BOT",1,"WP2","Specification of repositories & labeling their data: systematic integration of data from various repositories into the NEST subgraph"
"CONTRIBUTE/NEST-BOT",2,"WP3","Automating the construction of the Integration Layer: create robust autonomous integration layer, harmonize standardized and non-standardized NEST measurements"
"CONTRIBUTE/NEST-BOT",3,"WP4","Construct LLM and GUI of NEST-Bot: development and refinement of the Large Language Model (LLM) and user interface"
"CONTRIBUTE/NGSDATABOOSTER",0,"WP2","Uploader Implementation"
"CONTRIBUTE/NGSDATABOOSTER",1,"WP3","Frontend Implementation"
"CONTRIBUTE/NGSDATABOOSTER",2,"WP4","Enhance Frontend"
"CONTRIBUTE/NGSDATABOOSTER",3,"WP5","Disseminate"
"CONTRIBUTE/OGAIS",0,"WP1","Creation of a MAnual LAbeling tool for HYperspectral Data (MALAHYD)"
"CONTRIBUTE/OGAIS",1,"WP2","Integration of stabilization platform in the ODyN post processing pipeline"
"CONTRIBUTE/OGAIS",2,"WP3","Creation of a calibration data sets"
"CONTRIBUTE/OPAS",0,"WP1","Automatic Labelling"
"CONTRIBUTE/OPAS",1,"WP2","Evaluate & Refine Automatic Labelling Quality with Noise"
"CONTRIBUTE/OPAS",2,"WP3","Web Portal"
"CONTRIBUTE/OPAS",3,"WP4","Dissemination"
"CONTRIBUTE/OPENJMP",0,"WP1","Document and publish R data package jmpinput. Goal: Make data readily accessible to enable researchers and practitioners to utilize powerful data. Write up documentation that describes the origin of data and structure that it is provided in. Prepare at least two use cases as ""vignettes"" that can be published together with the data. Publish data, documentation and ""vignettes"" as R Package."
"CONTRIBUTE/OPENJMP",1,"WP2","Prepare and document R software Package jmpinput. Goal: Develop open-source software to support transparent documentation of modelling activities for primary indicators. Work with the JMP team replicate production of the basic indicators for individual countries, areas and territories, drawing on the data inputs described in WP1. Prepare a set of R functions that achieve all necessary data manipulation, modelling and visualization steps. Write up complete documentation for developed R functions. Publish R functions as a complete piece of software as an R Package."
"CONTRIBUTE/OPENJMP",2,"WP3","Continuously check-in with JMP team to update on progress and share intermediate products for review. Host two 3-hour public participatory live coding online workshops for the openwashdata community and beyond to showcase the developed R packages from WP1 and WP2. Publish well documented Open Educational Resources from an online workshop for researchers in our network to be used in their own teaching activities. Prepare an article for the Journal of Open Source Software."
"CONTRIBUTE/OPENMIC&AI",0,"WP1","Workshop organization and delivery"
"CONTRIBUTE/OPENMIC&AI",1,"WP2","Development of teaching resources"
"CONTRIBUTE/OPENMIC&AI",2,"WP3","Sustainability and community"
"CONTRIBUTE/OPENSENSE",0,"WP1","Contributed openly available Hardware Design (M1-3). Simplify and finalize hardware design for measurement technology from the 3D printer; generate technical documentation and publish online."
"CONTRIBUTE/OPENSENSE",1,"WP2","Contribute Software for the gathering of data (M4-6). Develop, comment, and test Python code for controlling the platform and integrating it into the repository."
"CONTRIBUTE/OPENSENSE",2,"WP3","Contribute Scripts for the data-formatting and storage (M6-9). Scripts for generating FAIR-compliant data, including persistent identifiers and appropriate metadata."
"CONTRIBUTE/OPENSENSE",3,"WP4","Evaluation, Dissemination and engagement activities (M9-12). Promote ORD practice via publication, webinars, workshops, and community engagement."
"CONTRIBUTE/ORSMD",0,"WP1","Gathering and evaluation of open data in Switzerland"
"CONTRIBUTE/ORSMD",1,"WP2","Concept and a development road map for a modular eqasim"
"CONTRIBUTE/ORSMD",2,"WP3","Coding of the first version of the modularized framework"
"CONTRIBUTE/ORSMD",3,"WP4","Re-implementation of Swiss pipeline using eqasim 2.0 and open data"
"CONTRIBUTE/ORSMD",4,"WP5","Implementation of standards to allow sharability of data based on non-open-data"
"CONTRIBUTE/ORSMD",5,"WP6","Implementation in the ODTP"
"CONTRIBUTE/PHENOMAST",0,"WP1","Preparation Workshop and ORD protocol for seed mast recording"
"CONTRIBUTE/PHENOMAST",1,"WP2","Integration of seed mast recording into phenology programs/apps"
"CONTRIBUTE/PHENOMAST",2,"WP3","Curation and dissemination of data through the ORD platform MastWeb"
"CONTRIBUTE/PYCSOU-FAIR",0,"WP1","Interoperability entry points"
"CONTRIBUTE/PYCSOU-FAIR",1,"WP2","Meta-programming framework"
"CONTRIBUTE/PYCSOU-FAIR",2,"WP3","Pycsou-FAIR website"
"CONTRIBUTE/PYCSOU-FAIR",3,"WP4","Documentation, tutorials and concrete examples"
"CONTRIBUTE/PYSPM",0,"WP1","USID scheme design for the techniques involved on the Open-Source controller"
"CONTRIBUTE/PYSPM",1,"WP2","New FPGA-PC communication protocol for efficient high-speed data transfer"
"CONTRIBUTE/PYSPM",2,"WP3","Implement the designed USID scheme into a HDF5 file format"
"CONTRIBUTE/PYSPM",3,"WP4","HDF5-USID/Gwyddion conversion tools"
"CONTRIBUTE/SCPAW",0,"WP1","GitLab CI setup and templates"
"CONTRIBUTE/SCPAW",1,"WP2","CVMFS server setup"
"CONTRIBUTE/SCPAW",2,"WP3","Benchmarking"
"CONTRIBUTE/SCPAW",3,"WP4","Community exchange & training"
"CONTRIBUTE/SOLARFUELSDB+",0,"WP1","Classification framework development"
"CONTRIBUTE/SOLARFUELSDB+",1,"WP2","Website development"
"CONTRIBUTE/SOLARFUELSDB+",2,"WP3","Population of extended database"
"CONTRIBUTE/SOLARFUELSDB+",3,"WP4","Dissemination of results and meta-analysis"
"CONTRIBUTE/SPAM-ORD",0,"WP1","spam packaging"
"CONTRIBUTE/SPAM-ORD",1,"WP2","spam hackathon"
"CONTRIBUTE/SPAM-ORD",2,"WP3","spam workshop"
"CONTRIBUTE/SRFI-DB",0,"other","Database: Gather orbit and spectra info, implement routines, store in database, and perform unit testing"
"CONTRIBUTE/SRFI-DB",1,"other","Web interface: Develop for browsing datasets, link to database, unit testing"
"CONTRIBUTE/SRFI-DB",2,"other","API: Develop for automatic data download, unit testing"
"CONTRIBUTE/STILLBERGDAT",0,"WP1","Data compilation"
"CONTRIBUTE/STILLBERGDAT",1,"WP2","ORD preparation and provisioning"
"CONTRIBUTE/THRACE",0,"WP1","Data import and curating in ThermoHub"
"CONTRIBUTE/THRACE",1,"WP2","Extending data schemas, import/export"
"CONTRIBUTE/THRACE",2,"WP3","Workflow development from original data to data in ThermoHub"
"CONTRIBUTE/TIMERESHDRMX",0,"WP1","Demonstrate a well-established algorithm for labeling frames as hits/misses as part of the SLS data acquisition pipeline"
"CONTRIBUTE/TIMERESHDRMX",1,"WP2","Enhance ORD quality of the time-resolved serial crystallography data"
"CONTRIBUTE/TIMERESHDRMX",2,"WP3","Present the results at a major international conference"
"CONTRIBUTE/TRANSCODE",0,"WP1","Design of the Model Architecture"
"CONTRIBUTE/TRANSCODE",1,"WP2","Model Implementation in Julia"
"CONTRIBUTE/TRANSCODE",2,"WP3","Model Packaging and Validation"
"CONTRIBUTE/TRANSCODE",3,"WP4","Model Performance Assessment and Improvement"
"CONTRIBUTE/TRANSCODE",4,"WP5","Model Dissemination"
"CONTRIBUTE/TREASURE",0,"WP1","Software design and implementation"
"CONTRIBUTE/TREASURE",1,"WP2","Migration of Matlab and python scripts into Javascript modules for integration into web application"
"CONTRIBUTE/TREASURE",2,"WP3","Automated database updates + deployment"
"CONTRIBUTE/TREASURE",3,"WP4","Curation of additional databases"
"CONTRIBUTE/TREASURE",4,"WP5","UI/UX Polish & data overview map"
"CONTRIBUTE/TREASURE",5,"WP6","Clean documentation for publication(s), dissemination and user support"
"CONTRIBUTE/TREASURE",6,"WP7","External data ingestion pipeline prototype"
"CONTRIBUTE/TREASURE",7,"WP8","Deployment"
"CONTRIBUTE/TREENETGAPS",0,"WP1","Model design"
"CONTRIBUTE/TREENETGAPS",1,"WP2","Model integration"
"CONTRIBUTE/TSDF",0,"other","Formalization of Time Series Database Storage Architecture"
"CONTRIBUTE/TSDF",1,"WP1","Implementation of the I/O Python API to access the data"
"CONTRIBUTE/TSDF",2,"WP2","Extend the Python API with methods for distributed time-series processing"
"CONTRIBUTE/TSDF",3,"WP3","Python packaging, documentation, examples and journal article"
"CONTRIBUTE/UQBENCH",0,"WP1","Set of benchmark functions and potential methods"
"CONTRIBUTE/UQBENCH",1,"WP2","Implementation of the benchmark software and documentation"
"CONTRIBUTE/UQBENCH",2,"WP3","Set-up of the UQWorld benchmark section"
"CONTRIBUTE/WASHCOLLAB",0,"WP1","Maintain"
"CONTRIBUTE/WASHCOLLAB",1,"WP2","Extend"
"CONTRIBUTE/WASHCOLLAB",2,"WP3","Disseminate"
"CONTRIBUTE/WEAR-MED",0,"WP1","Community Requirements"
"CONTRIBUTE/WEAR-MED",1,"WP2","Demonstrator"
"CONTRIBUTE/XYT",0,"WP1","cleaning and improving"
"CONTRIBUTE/XYT",1,"WP2","packaging and documenting"
"CONTRIBUTE/XYT",2,"WP3","demo and user guide"
"ESTABLISH/OPEM",0,"WP1","Process harmonization on data and automated harvesting of metadata in line with international standards"
"ESTABLISH/OPEM",1,"WP2","Establish Swiss-Wide Data Hub for data management, exchange and data transfer"
"ESTABLISH/OPEM",2,"WP3","Seamless and Automated Deposition in International Repositories"
"ESTABLISH/OPEM",3,"WP4","User Training, Outreach and Sustainability"
"ESTABLISH/PREMISE",0,"WP1","Development of metadata formats and practices for integrated exp/simul in ELNs"
"ESTABLISH/PREMISE",1,"WP2","Application of WP1 concepts to simulation-assisted experiments"
"ESTABLISH/PREMISE",2,"WP3","Open data from workflow-driven robotic experiments / Application of WP1 concepts to battery research and data schema for digital twins"
"ESTABLISH/PREMISE",3,"WP4","Reproducible and accessible materials experiments and simulations / Standard templates and modular interface components for experimental plots"
"ESTABLISH/PREMISE",4,"WP5","Project management and outreach / Project coordination and management"
"EXPLORE/ADDLIDAR",0,"WP1","Preparation and coordination with the ARES community"
"EXPLORE/ADDLIDAR",1,"WP2","Setup of the processing pipeline"
"EXPLORE/ADDLIDAR",2,"WP3","Setup of the dataset repository"
"EXPLORE/ADDLIDAR",3,"WP4","Setup of the online viewer and data browsing interface"
"EXPLORE/ADDLIDAR",4,"WP5","Dissemination and advertisement"
"EXPLORE/ASTROORDAS",0,"WP1","ORDAS for CTA and SKA"
"EXPLORE/ASTROORDAS",1,"WP2","ORDAS for analysis of transient astronomical sources with CTA and SKA"
"EXPLORE/COORDINEO",0,"WP1","Online community and repository"
"EXPLORE/COORDINEO",1,"WP2","Data standards and code"
"EXPLORE/COORDINEO",2,"WP3","Documentation standards and templates"
"EXPLORE/COORDINEO",3,"WP4","Communication"
"EXPLORE/DCSM",0,"WP1","CSM@Renku"
"EXPLORE/DCSM",1,"WP2","Online CSM@Jupyterlab"
"EXPLORE/DCSM",2,"WP3","Server deploy"
"EXPLORE/DCSM",3,"WP4","Student work"
"EXPLORE/EXAIRIM",0,"WP1","Networking with greenhouse gas modelling community"
"EXPLORE/EXAIRIM",1,"WP2","Design of AiiDA plugin for greenhouse gas inversion"
"EXPLORE/EXAIRIM",2,"WP3","Implementation of plugin design in dedicated AiiDA plugin"
"EXPLORE/EXAIRIM",3,"WP4","Outreach and dissemination to the European greenhouse gas modelling community"
"EXPLORE/FAIRGEO",0,"WP1","Project management"
"EXPLORE/FAIRGEO",1,"WP2","Community & Practices"
"EXPLORE/FAIRGEO",2,"WP3","Tools & techniques"
"EXPLORE/FAIRQUAL",0,"WP1","Identification of ORD tools and workflows for publication of FAIR qualitative data in Td research"
"EXPLORE/FAIRQUAL",1,"WP2","Evaluation of current data practices and identification of training and education needs"
"EXPLORE/FAIRQUAL",2,"WP3","Development of guidelines and protocols for FAIR qualitative data in Td research"
"EXPLORE/FAIRQUAL",3,"WP4","Building a community of practice for FAIR qualitative data in Td research"
"EXPLORE/FOREST3DTWIN",0,"WP1","Metadata and data"
"EXPLORE/FOREST3DTWIN",1,"WP2","Repository and web interface"
"EXPLORE/FOREST3DTWIN",2,"WP3","Testing and Dissemination"
"EXPLORE/FRAME",0,"WP1","Code and Data Standards"
"EXPLORE/FRAME",1,"WP2","Metadata Specifications"
"EXPLORE/FRAME",2,"WP2","Unified metadata specification for hybrid models: design, translation to machine-readable format, testing, revision, and documentation"
"EXPLORE/FRAME",3,"WP3","Ancillary Software Tools"
"EXPLORE/FRAME",4,"WP3","Ancillary software tools: feature design, development, testing, and documentation for assembling hybrid model components"
"EXPLORE/FRAME",5,"WP4","Communication and Dissemination: publications in scientific journals and presentations at relevant conferences"
"EXPLORE/GENDIB-ORD",0,"WP1","Tool development"
"EXPLORE/GENDIB-ORD",1,"WP2","Community building"
"EXPLORE/HT-CHEMBORD",0,"WP1","Finalizing the definition of the Matryoshka file format and ontology"
"EXPLORE/HT-CHEMBORD",1,"WP2","Develop the data and metadata aggregator"
"EXPLORE/HT-CHEMBORD",2,"WP3","Develop and establish the CHEMBORD open database"
"EXPLORE/HT-CHEMBORD",3,"WP4","Data ingestion tooling & Data Querying System"
"EXPLORE/ILOG",0,"WP1","Develop concept of inventory logbook based on the community input at Empa"
"EXPLORE/ILOG",1,"WP2","Implement generic 'logbook' capabilities in openBIS"
"EXPLORE/ILOG",2,"WP3","As a proof-of-concept, establish customized ""inventory object masks (IOMs)"" for digitizing the inventory of nanotech@surfaces lab"
"EXPLORE/ILOG",3,"WP4","Dissemination: present the new practice and extension at openBIS user conference and promote it at an Empa internal workshop and new user trainings"
"EXPLORE/INOAP",0,"other","Database Work Package"
"EXPLORE/INOAP",1,"other","API Work package"
"EXPLORE/INOAP",2,"other","Application Work Package"
"EXPLORE/INSCRIBE",0,"WP1","Review KGs and data repositories"
"EXPLORE/INSCRIBE",1,"WP2","Reproducible research workflows"
"EXPLORE/INSCRIBE",2,"WP3","Community testing prototypes"
"EXPLORE/NMRPRIME",0,"WP1","Establish an online system for deposition of NMR spectra in all commonly used formats"
"EXPLORE/NMRPRIME",1,"WP2","Provide open access to NMR spectra"
"EXPLORE/NMRPRIME",2,"WP3","Automated spectrum annotation"
"EXPLORE/NMRPRIME",3,"WP4","Explore the coordination of NMRprime with existing open research data initiatives for structural biology and NMR"
"EXPLORE/OPENCHEMUSES",0,"WP1","Develop a standard for future use data reporting"
"EXPLORE/OPENCHEMUSES",1,"WP2","Develop workflow(s) and tools for automated extraction and harmonization of existing use data"
"EXPLORE/OPENNEXUS-E",0,"WP1","Library creation"
"EXPLORE/OPENNEXUS-E",1,"WP2","Publish Nexus-e scenario database"
"EXPLORE/OPENNEXUS-E",2,"WP3","Improve Nexus-e accessibility"
"EXPLORE/OPENNEXUS-E",3,"WP4","Community building"
"EXPLORE/OPENPULSE",0,"WP1","Coordination and Conceptual Framework"
"EXPLORE/OPENPULSE",1,"WP2","Prototype Development"
"EXPLORE/OPENPULSE",2,"WP3","Prototype Validation"
"EXPLORE/OPENPULSE",3,"WP4","Prototype Deployment"
"EXPLORE/OPENPULSE",4,"WP5","Prototype Integration into central IT"
"EXPLORE/OPENPULSE",5,"WP6","Dissemination"
"EXPLORE/OPENSPM",0,"WP1","Establishing and improving the accessibility of the OpenSPM platform"
"EXPLORE/OPENSPM",1,"WP2","Build an active user and developer community around our open platform"
"EXPLORE/OPENSPM",2,"WP3","Interfacing and expanding to the broader SPM community"
"EXPLORE/OPENSPM+",0,"WP1","Remove reliance on commercial SPM components"
"EXPLORE/OPENSPM+",1,"WP2","Expand to other SPM microscope brands and applications; Compatibility with other microscope brands."
"EXPLORE/OPENSPM+",2,"WP3","Establishing a professional hardware/software development and maintenance framework; Setting up a professional development framework."
"EXPLORE/OPENSPM+",3,"WP4","Growing community beyond SPM applications; Expansion beyond SPM"
"EXPLORE/OPENSPM+",4,"WP5","International outreach activities; Outreach activities"
"EXPLORE/OPENWASHDATA",0,"WP1","Advertising opportunities to contribute to openwashdata community; Weekly live-coding event to engage early adopters."
"EXPLORE/OPENWASHDATA",1,"WP2","Create a GitHub repository template for data submission and documentation; Facilitate submission of data; Produce learning materials to enable easy data sharing."
"EXPLORE/OPENWASHDATA",2,"WP3","Invite community members to contribute to data cleaning; Categorise data sources for effort/value; Teach 7-week online course for data cleaning competencies."
"EXPLORE/OPENWASHDATA",3,"WP3","Activity 3.4: Host two online hackathons where selected data sets are cleaned by participants"
"EXPLORE/OPENWASHDATA",4,"WP3","Activity 3.5: Host a 2-day workshop in-person workshop at a sector relevant conference with an element of capacity building."
"EXPLORE/OPENWASHDATA",5,"WP4","Activity 4.1: Publish GitHub repository containing data and code in general-purpose long-term archiving repository Zenodo."
"EXPLORE/OPENWASHDATA",6,"WP4","Activity 4.2: Prepare data communication products using published data to generate new insights and results."
"EXPLORE/OPENWASHDATA",7,"WP4","Activity 4.3: Prepare R Data Packages for published data sets with the most promising reuse potential"
"EXPLORE/OPENWASHDATA",8,"WP4","Activity 4.4: Aggregate published data sets into websites that are data warehouses and data catalogues"
"EXPLORE/OPENWASHDATA",0,"WP1","Data stewardship network"
"EXPLORE/OPENWASHDATA",1,"WP2","Governance"
"EXPLORE/OPENWASHDATA",2,"WP3","Community expansion"
"EXPLORE/OPENWASHDATA",3,"WP4","Increase FAIRness"
"EXPLORE/SOLIDIPES",0,"WP1","Enhance interoperability"
"EXPLORE/SOLIDIPES",1,"WP2","Generalize to more domains"
"EXPLORE/SOLIDIPES",2,"WP3","Extend capabilities"
"EXPLORE/SOLIDIPES",3,"WP4","Dissemination"
"EXPLORE/SUCCESS",0,"WP1","Documentation Extension and Domain Tutorials"
"EXPLORE/SUCCESS",1,"WP2","Community Building"
"EXPLORE/SUCCESS",2,"WP3","Formation of Data Repository and Support for Early Adoption"
"EXPLORE/SUCCESS",3,"WP4","Organisation of Institutional Partnerships and Collaborations"
"EXPLORE/SUCCESS",4,"WP5","Promotion and Community Outreach"
"EXPLORE/XCELL",0,"WP1","Refining, public assessment, and finalization of the Xcell Hub"
"EXPLORE/XCELL",1,"WP2","Integration of self-managed web-based data uploading module and testing"
"EXPLORE/XCELL",2,"WP3","Community Engagement"
