"project_id","index","name","institution","function","roles_and_main_tasks"
"CONTRIBUTE/MAST",1,"Beyer, K.",NA,NA,NA
"CONTRIBUTE/MAST",2,"Smith, S. F. C.",NA,NA,NA
"CONTRIBUTE/MISHMASH",0,"INSUFFICIENT DATA","INSUFFICIENT DATA","INSUFFICIENT DATA","INSUFFICIENT DATA"
"CONTRIBUTE/STILLBERGDAT",0,"Mathias Bavay","WSL","Researcher, Research Unit Snow and Atmosphere","Collaboration on data curation and scientific integration (INFERRED FROM TEXT)"
"CONTRIBUTE/STILLBERGDAT",1,"Mauro Marty","WSL","Researcher, Research Unit Land Change Science","Collaboration on data curation and publication (INFERRED FROM TEXT)"
"CONTRIBUTE/STILLBERGDAT",2,"Marcus Schaub","WSL","Researcher, Research Unit Forest Soils and Biogeochemistry","Co-applicant, data and metadata curation (INFERRED FROM TEXT)"
"CONTRIBUTE/STILLBERGDAT",3,"Frank Hagedorn","WSL","Researcher, Research Unit Land Change Science","Co-applicant, support in data evaluation and publication (INFERRED FROM TEXT)"
"CONTRIBUTE/STILLBERGDAT",4,"Patrick Möhl","UNIBAS","Researcher, Department of Environmental Sciences","External scientific collaborator (INFERRED FROM TEXT)"
"CONTRIBUTE/STILLBERGDAT",5,"Ignacio Barbeito","UBC","Researcher, Department of Forest Resources Management","External scientific collaborator (INFERRED FROM TEXT)"
"CONTRIBUTE/STILLBERGDAT",6,"EnviDat team","WSL","ORD platform and data infrastructure support","Data hosting, infrastructure, IT support"
"CONTRIBUTE/STILLBERGDAT",7,"Christoph Wohner","Environment Agency Austria","eLTER data management","Data interoperability and international network integration"
"CONTRIBUTE/WEAR-MED",0,NA,"ETH Zürich",NA,NA
"CONTRIBUTE/WEAR-MED",1,NA,"EPFL",NA,NA
"CONTRIBUTE/WEAR-MED",2,NA,"PSI",NA,NA
"CONTRIBUTE/WEAR-MED",3,NA,"WSL",NA,NA
"CONTRIBUTE/WEAR-MED",4,NA,"Empa",NA,NA
"CONTRIBUTE/WEAR-MED",5,NA,"eawag",NA,NA
"ESTABLISH/OPEM",0,"Henning Stahlberg","EPFL","Professor","Project Management; Integration with international repositories (WP3)"
"ESTABLISH/OPEM",1,"Spencer Bliven","PSI","Scientific Engineer","Project Coordination; Coordination SwissUniversities CHORD partners; SciCat devel., operation (WP2)"
"ESTABLISH/OPEM",2,"Rolf Erni","Empa","Professor","Standards for material science (WP1)"
"ESTABLISH/OPEM",3,"Christophe Coperet","ETH Zurich","Professor","Storage and Archiving (WP2.2)"
"ESTABLISH/OPEM",4,"Volodymyr Korkhov","ETH Zurich","Professor","Scientific consultation; SciCat development and operation (WP2)"
"ESTABLISH/OPEM",5,"Gebhard Schertler","PSI","Professor","Scientific consultation; SciCat development and operation (WP2)"
"ESTABLISH/OPEM",6,"Robbie Loewith","UNIGE","Professor","Automatic deposition in SciCat (WP1)"
"ESTABLISH/OPEM",7,"Benoît Zuber","UNIBE","Professor","User training and outreach (WP4)"
"ESTABLISH/OPEM",8,"Timm Maier","UNIBA","Professor","Standards for Life Science (WP1)"
"ESTABLISH/OPEM",9,"Christel Genoud","UNIL","Professor","Integration with international repositories (WP3)"
"ESTABLISH/PREMISE",0,"Bernd Rinn","ETH Zurich","Head of Scientific IT Services","Provide ELN expert knowledge and supervision of ELN feature development"
"ESTABLISH/PREMISE",1,"Corsin Battaglia","Empa","Head of Laboratory","Provide application/field interoperability challenges and supervise data collection"
"ESTABLISH/PREMISE",2,"Carlo Pignedoli","Empa","Senior Scientist","Provide application/field interoperability challenges and supervise UI development"
"ESTABLISH/PREMISE",3,"Helge Stein",NA,NA,"autonomous platforms (batteries and beyond)"
"ESTABLISH/PREMISE",4,"Eibar Flores","SINTEF",NA,"ontologies/dlite"
"ESTABLISH/PREMISE",5,"Jesper Friis","SINTEF",NA,"ontologies/dlite"
"ESTABLISH/PREMISE",6,"Simon Stier","Fraunhofer",NA,"ontologies"
"ESTABLISH/PREMISE",7,"Sandor Brockhauser","FAIRMAT",NA,"NeXus ontology"
"ESTABLISH/PREMISE",8,"Steffen Brickmann","ELN Consortium",NA,"ELN file format"
"ESTABLISH/PREMISE",9,"Simon Bekemeier","BAM",NA,"ORD transfer protocol"
"ESTABLISH/PREMISE",10,"Martin Held","herbie",NA,"ORD transfer protocol"
"ESTABLISH/PREMISE",11,"Martin Starman","chemotion",NA,"ORD transfer protocol"
"ESTABLISH/PREMISE",12,"Stefan Kuhn","NMRShiftDB",NA,"ORD transfer protocol"
"ESTABLISH/PREMISE",13,"Nikita Shepelin","PSI",NA,"AiiDA-PLD (Pulse Laser Deposition system) integration"
"ESTABLISH/PREMISE",14,"Nukorn Plainpan",NA,NA,NA
"ESTABLISH/PREMISE",15,"Fabio Andre DaCostaLopes",NA,NA,NA
"ESTABLISH/PREMISE",16,"Edan Bainglass",NA,NA,NA
"ESTABLISH/PREMISE",17,"Caterina Barillari",NA,NA,NA
"ESTABLISH/PREMISE",18,"Corsin Battaglia",NA,NA,NA
"ESTABLISH/PREMISE",19,"Carlo Pignedoli",NA,NA,NA
"ESTABLISH/PREMISE",20,"Giovanni Pizzi",NA,NA,NA
"ESTABLISH/PREMISE",0,"Nukorn Plainpan","Empa",NA,NA
"ESTABLISH/PREMISE",1,"Fabio Lopes","Empa",NA,NA
"ESTABLISH/PREMISE",2,"Edan Bainglass","PSI",NA,NA
"ESTABLISH/PREMISE",3,"Caterina Barillari","ETH Zurich",NA,NA
"ESTABLISH/PREMISE",4,"Corsin Battaglia","Empa",NA,NA
"ESTABLISH/PREMISE",5,"Carlo Pignedoli","Empa",NA,NA
"ESTABLISH/PREMISE",6,"Giovanni Pizzi","PSI",NA,NA
"ESTABLISH/PREMISE",7,"Peter Kraus",NA,NA,NA
"ESTABLISH/PREMISE",8,"Francisco F. Ramirez",NA,NA,NA
"ESTABLISH/PREMISE",9,"Enea Svaluto-Ferro",NA,NA,NA
"ESTABLISH/PREMISE",10,"Loris Ercole",NA,NA,NA
"ESTABLISH/PREMISE",11,"Benjamin Kunz",NA,NA,NA
"ESTABLISH/PREMISE",12,"Sebastiaan P. Huber",NA,NA,NA
"ESTABLISH/PREMISE",13,"Nicola Marzari",NA,NA,NA
"EXPLORE/ASTROORDAS",0,"Emma Tolley","EPFL LASTRO","Senior Scientist","Leader SKAO part"
"EXPLORE/ASTROORDAS",1,"Andrii Neronov","EPFL LASTRO","Senior Scientist","Leader CTAO part"
"EXPLORE/COORDINEO",0,"Dr. Andreas Fichtner","D-ERDW","Professor","Responsible ETH Professor"
"EXPLORE/COORDINEO",1,"M. Koroni",NA,NA,NA
"EXPLORE/COORDINEO",2,"S. Klaasen",NA,NA,NA
"EXPLORE/COORDINEO",3,"Sebastian Noe",NA,NA,NA
"EXPLORE/DCSM",0,"J.F. Molinari","LSMS – EPFL","Prof","Scientific Advisor and Supervision"
"EXPLORE/DCSM",1,"N. Richart","SCITAS – EPFL","Ph.D","HPC Technical advisor"
"EXPLORE/FAIRGEO",0,"Roman Walt","ETH Zurich, ETH Library","Staff member Maps and Geoinformation","Project co-manager, head WP2 Community & Practices"
"EXPLORE/HT-CHEMBORD",0,"Riba Grognuz Oksana","- SDSC (Swiss Data Science Center)- ORDES (Open Research Data Engagement and Services)","Head of ORD Engagement and Services","- Develop the research data infrastructure (RDI)- Semantic engineer domain ontology for metadata enhancement"
"EXPLORE/HT-CHEMBORD",1,"ETH Zürich","ETH Zürich",NA,NA
"EXPLORE/HT-CHEMBORD",2,"EPFL","EPFL",NA,NA
"EXPLORE/HT-CHEMBORD",3,"PAUL SCHERRER INSTITUT PSI","PSI",NA,NA
"EXPLORE/HT-CHEMBORD",4,"WSL","WSL",NA,NA
"EXPLORE/HT-CHEMBORD",5,"Empa Materials Science and Technology","Empa",NA,NA
"EXPLORE/HT-CHEMBORD",6,"eawag aquatic research","eawag",NA,NA
"EXPLORE/ILOG",0,"Simone Bafelli","Scientific IT Group","Research Software Engineer","Project coordination, software architect"
"EXPLORE/INOAP",0,"Jhony Prada","INI","Technical staff","Software Engineer"
"EXPLORE/INOAP",1,"Nianlong Gu","UZH","ML Specialist","Machine Learning specialist"
"EXPLORE/INOAP",2,"Yingqiang Gao","UZH, previously at INI","PhD","Researcher"
"EXPLORE/INOAP",3,"Jessica Lam","INI","PhD","Researcher"
"EXPLORE/INOAP",4,"Anna Kiepura","INI","PhD","Researcher"
"EXPLORE/NMRPRIME",0,"Peter Güntert","D-CHAB, Institute of Molecular and Physical Science","Professor",NA
"EXPLORE/OPENCHEMUSES",0,"Bernd Nowack","Empa","Group Leader","Group leader of the Group where the main applicant and PostDoc are at; regular discussion of the project implementation"
"EXPLORE/OPENPULSE",0,"Olivier Verscheure","Swiss Data Science Center - SDSC","Executive Director",NA
"EXPLORE/OPENSPM",0,"Dr. Irit Goldian","WIS",NA,"Attended workshop to build open hardware SPM set to use with OpenSPM software"
"EXPLORE/OPENSPM",1,"CSIR-Central Scientific Instruments Organisation","CSIR",NA,"Joined initiative and uses OpenSPM software in their SPMs"
"EXPLORE/OPENSPM",2,"Weizmann Institute of Science","WIS",NA,"Main users and SPM user facility for project outputs"
"EXPLORE/OPENSPM",3,"Chinese Academy of Science","Chinese Academy of Science",NA,"Collaboration and use of project outputs (ca. 6 users)"
"EXPLORE/OPENSPM",4,"Czech Metrology Institute","Czech Metrology Institute",NA,"Maintainers of Gwyddion; implemented project formats in software"
"EXPLORE/OPENWASHDATA",0,"Lars Schöbitz","ETH Zurich D-MAVT Global Health Engineering","Open Science Specialist","Project management and lead for WP1, WP2, WP3, and WP4."
"EXPLORE/OPENWASHDATA",1,"Matthias Bannert","ETH Zurich KOF Konjunkturforschungsstelle","Research Software Engineer","Senior project advisor with lead for WP0 and contributor to WP2, WP3, and WP4."
"EXPLORE/SOLIDIPES",0,"V.Saychenko","LASTRO-EPFL","Dr","Astrophysics coordination"
"EXPLORE/SOLIDIPES",1,"A.Neronov","LASTRO-EPFL","Dr","Astrophysics coordination"
"EXPLORE/SOLIDIPES",2,"A.Borel","Library-EPFL","Dr","Repository and DMP coordination"
"EXPLORE/SOLIDIPES",3,"ETH Zürich","ETH Zürich",NA,NA
"EXPLORE/SOLIDIPES",4,"EPFL","EPFL",NA,NA
"EXPLORE/SOLIDIPES",5,"PAUL SCHERRER INSTITUT PSI","PAUL SCHERRER INSTITUT PSI",NA,NA
"EXPLORE/SOLIDIPES",6,"WSL","WSL",NA,NA
"EXPLORE/SOLIDIPES",7,"Empa Materials Science and Technology","Empa Materials Science and Technology",NA,NA
"EXPLORE/SOLIDIPES",8,"eawag aquatic research","eawag aquatic research",NA,NA
"EXPLORE/XCELL",0,"I. Iosifescu","WSL","Scientific collaborator","Guiding and technical-support"
"EXPLORE/XCELL",1,"G. von Arx","WSL","Group leader","Guiding and dendro-support"
"EXPLORE/XCELL",0,"Volodymyr Trotsiuk","WSL",NA,NA
"EXPLORE/XCELL",1,"Ionuț Iosifescu Enescu","WSL",NA,NA
"EXPLORE/XCELL",2,"Georg von Arx","WSL",NA,NA
"EXPLORE/XCELL",3,"Patrick Fonti","WSL",NA,NA
