"project_id","category","index","quantity","descriptions","urls"
"CONTRIBUTE/BRAINSCOREHUMAN","publications",7,8,"Publication on OpenReview.net","https://openreview.net/forum?id=Ho0x9DgdZw"
"CONTRIBUTE/BRAINSCORETMPRL","datasets_databases",0,2,"GitHub links to datasets and benchmarks: several others currently in fork waiting for merge approval (hoping to get these merged within the next few weeks)","https://github.com/brain-score/vision/blob/37e435c8f9ecfc83d3e260575550eac29867ac4a/brainscore_vision/metric_helpers/temporal.py#L78,https://github.com/brain-score/vision/blob/37e435c8f9ecfc83d3e260575550eac29867ac4a/brainscore_vision/metrics/regression_correlation/__init__.py#L17-L20,https://github.com/brain-score/vision/blob/37e435c8f9ecfc83d3e260575550eac29867ac4a/brainscore_vision/benchmarks/majajhong2015/benchmark.py#L65,https://github.com/epflneuroailab/dynamic-vision/blob/main/src/evaluate/fmri.py"
"CONTRIBUTE/BRAINSCORETMPRL","estimated_users",0,450,"Over 450 registered Brain-Score users; 130’000+ visits to the website per year",NA
"CONTRIBUTE/BRAINSCORETMPRL","models_standards",0,22,"2 metrics, 20 models (+ many new models submitted as an indirect result of this project), Metrics: regression_correlation, Metric helpers: temporal.py, all 20 models starting with temporal_ successfully merged into Brain-Score","https://github.com/brain-score/vision/tree/master/brainscore_vision/model_helpers/activations/temporal,https://github.com/brain-score/vision/blob/37e435c8f9ecfc83d3e260575550eac29867ac4a/brainscore_vision/metrics/regression_correlation/__init__.py#L17-L20,https://github.com/brain-score/vision/blob/37e435c8f9ecfc83d3e260575550eac29867ac4a/brainscore_vision/metric_helpers/temporal.py#L78,https://github.com/brain-score/vision/tree/master/brainscore_vision/models"
"CONTRIBUTE/BRAINSCORETMPRL","new_collaborations",0,1,"My group now more closely works with the Yamins lab at Stanford",NA
"CONTRIBUTE/BRAINSCORETMPRL","publications",0,4,"2 in my group, at least 2 other ongoing projects that I am aware of. None published yet, one will be presented later this year as a poster at CCN.",NA
"CONTRIBUTE/BRAINSCORETMPRL","repositories_catalogues",0,1,"www.github.com/brain-score/vision API now merged: https://github.com/brain-score/vision/blob/7d3b8a5ba912b7ab04e07891adbea5eb63859397/brainscore_vision/model_interface.py#L190, along with API adapters: https://github.com/brain-score/vision/tree/master/brainscore_vision/model_helpers/activations/temporal","https://github.com/brain-score/vision,https://github.com/brain-score/vision/blob/7d3b8a5ba912b7ab04e07891adbea5eb63859397/brainscore_vision/model_interface.py#L190,https://github.com/brain-score/vision/tree/master/brainscore_vision/model_helpers/activations/temporal"
"CONTRIBUTE/BRAINSCORETMPRL","software_tools",0,1,"Interface API","https://github.com/brain-score/vision/tree/master/brainscore_vision/model_helpers/activations/temporal"
"CONTRIBUTE/ENVIPATH+EDGEBP","datasets_databases",0,1,"Curated set of 3'000+ biotransformation-related gene sequences within the repository","https://github.com/MSM-group/ContaHMM/tree/main/sequences"
"CONTRIBUTE/ENVIPATH+EDGEBP","estimated_users",0,616,"The tool enviPath has 616 registered users and visits on the enviPath website are steadily increasing, with well over 25k visits since its initiation in 2016.",NA
"CONTRIBUTE/ENVIPATH+EDGEBP","models_standards",0,192,"The 192 profile Hidden Markov Models produced as part of this project","https://github.com/MSM-group/ContaHMM/tree/main/HMMs"
"CONTRIBUTE/ENVIPATH+EDGEBP","models_standards",1,192,"190+ chemically-annotated Hidden Markov Models (HMMs) for rapid functional annotation of contaminant biotransformation genes in metagenomes",NA
"CONTRIBUTE/ENVIPATH+EDGEBP","new_collaborations",0,1,"Started a new collaboration with Kunyang Zhang of Kathrin Fenner’s group and formally established a collaboration with Dr. Jasmin Hafner leading the enviPathPlus project.",NA
"CONTRIBUTE/ENVIPATH+EDGEBP","presentations",0,4,"Robinson, S. Invited conference session convener, chair, and speaker, Society for Industrial Microbiology and Biotechnology NP Meeting, San Diego, CA, USA. “From metagenomes to mechanisms: predicting enzyme specificity from microbiomes”. San Diego, CA. January 2025.","https://sim.confex.com/sim/np2025/meetingapp.cgi/Session/5756"
"CONTRIBUTE/ENVIPATH+EDGEBP","presentations",1,4,"Robinson, S. Invited workshop speaker for the “Genomics and Data Integration” workshop as part of the Microbial Secondary Metabolites in Microbiomes Symposium, “Mind the gap: challenges and opportunities in paired ‘omics”. Helsignør, Denmark. June 2024.","https://www.conferencemanager.dk/cemist2024msmm/programme"
"CONTRIBUTE/ENVIPATH+EDGEBP","presentations",2,4,"Robinson, S., Invited speaker. “Mining microbiomes for contaminant biotransformations” Swiss Society of Toxicology. Basel, CH. November 2024.","https://www.swisstox.ch/assets/files/sst_annual_meeting2024_program_v4_241107.pdf"
"CONTRIBUTE/ENVIPATH+EDGEBP","presentations",3,4,"Poltorak, V., Robinson, S. “Inferring Contaminants Biotransformation Potential of Microbial Environmental Communities by Metagenomics.” 4th International Conference in Microbial Ecotoxicology, Gothenburg, Sweden. November 2024.","https://ecotoxicomic24.sciencesconf.org/"
"CONTRIBUTE/ENVIPATH+EDGEBP","publications",0,5,"Wackett, L. and Robinson S. “A prescription for engineering PFAS biodegradation.” Biochemical Journal (2024) 481 (23): 1757–1770.","https://www.sciencedirect.com/org/science/article/pii/S1470872824000948"
"CONTRIBUTE/ENVIPATH+EDGEBP","publications",1,5,"Making waves: Enhancing pollutant biodegradation via rational engineering of microbial consortia. Water research 247 (2023): 120756.",NA
"CONTRIBUTE/ENVIPATH+EDGEBP","publications",2,5,"enviPath–The environmental contaminant biotransformation pathway resource. Nucleic acids research 44, no. D1 (2016): D502-D508.",NA
"CONTRIBUTE/ENVIPATH+EDGEBP","publications",3,5,"enviLink: A database linking contaminant biotransformation rules to enzyme classes in support of functional association mining. bioRxiv (2021): 2021-05.",NA
"CONTRIBUTE/ENVIPATH+EDGEBP","publications",4,5,"Cultivation-independent genomes greatly expand taxonomic-profiling capabilities of mOTUs across various environments. Microbiome 10, no. 1 (2022): 212.",NA
"CONTRIBUTE/ENVIPATH+EDGEBP","repositories_catalogues",0,1,"New GitHub repository and README for the enviPath and broader scientific user community","https://github.com/MSM-group/ContaHMM"
"CONTRIBUTE/ENVIPATH+EDGEBP","repositories_catalogues",1,1,NA,"https://doi.org/10.5281/zenodo.14871403"
"CONTRIBUTE/ENVIPATH+EDGEBP","websites_platforms",0,2,"Associated resources on the enviPath repository","https://wiki.envipath.org/doku.php?id=start#associated_resources"
"CONTRIBUTE/ENVIPATH+EDGEBP","websites_platforms",1,2,"ContaHMM GitHub repository for open research data from the project","https://github.com/MSM-group/ContaHMM"
"CONTRIBUTE/FACILITATE","datasets_databases",0,1,"Example use case for RRP export bundle: Python tool pyPOCQuant for automatic detection and quantification of signal bands from images of lateral flow assays or Point of Care tests","https://pypocquant.readthedocs.io/en/latest/index.html"
"CONTRIBUTE/FACILITATE","software_tools",0,2,"Player bundle export mode for RRP",NA
"CONTRIBUTE/FACILITATE","software_tools",1,2,"Player script export mode for RRP",NA
"CONTRIBUTE/FACILITATE","training_events",0,1,"Seminar for the Swiss Reproducibility Network","https://www.swissrn.org/computational/"
"CONTRIBUTE/FACILITATE","websites_platforms",0,1,"Online RRP user documentation","https://sispub.sispages.ethz.ch/rrp-documentation/"
"CONTRIBUTE/FIRE","datasets_databases",0,1,"New and improved tests in Test262, the official test suite for JavaScript","https://github.com/tc39/test262/pull/4423"
"CONTRIBUTE/FIRE","datasets_databases",1,1,NA,"https://github.com/tc39/test262/pull/4185"
"CONTRIBUTE/FIRE","estimated_users",0,2,"JavaScript implementation community","https://dl.acm.org/doi/abs/10.1145/3691620.3695005"
"CONTRIBUTE/FIRE","estimated_users",1,2,"Several research labs; our work also has an impact on several research labs","https://scholar.google.com/scholar?cites=4939186673206502005"
"CONTRIBUTE/FIRE","outreach_activities",0,1,"Blog post explaining the tool SpecMerger","https://systemf.epfl.ch/blog/SpecMerger/"
"CONTRIBUTE/FIRE","presentations",0,2,"Presentation at the ICFP 2024 conference","https://www.youtube.com/watch?v=PAk8_Lgs8Xw"
"CONTRIBUTE/FIRE","presentations",1,2,"Poster for the PLDI 2024 Student research competition, that won the gold medal in the graduate category","https://systemf.epfl.ch/posters/2024-warblre/"
"CONTRIBUTE/FIRE","publications",0,1,"Publication at the ICFP24 conference: A Coq Mechanization of JavaScript Regular Expression Semantics","https://dl.acm.org/doi/10.1145/3674666"
"CONTRIBUTE/FIRE","publications",1,1,"Related artifact","https://dl.acm.org/do/10.5281/zenodo.11494317/full/"
"CONTRIBUTE/FIRE","repositories_catalogues",0,1,"New Coq mechanization of JavaScript regexes, Warblre","https://github.com/epfl-systemf/Warblre"
"CONTRIBUTE/FIRE","software_tools",0,1,"SpecMerger, a tool to compare two specifications","https://github.com/epfl-systemf/SpecMerger"
"CONTRIBUTE/GLOVDH","datasets_databases",0,1,"SQL Database currently hosted at ETH but will be mirrored to TU Munich (TUM) as well","https://glovdh.ethz.ch/api/v1/docs"
"CONTRIBUTE/GLOVDH","estimated_users",0,300,"Estimated number of IVS associated members",NA
"CONTRIBUTE/GLOVDH","new_collaborations",0,2,"Collaboration with TU Munich (TUM) and University of Tasmania (UTAS) to extend database and development.","https://ivscc.gsfc.nasa.gov/publications/newsletter/issue69.pdf"
"CONTRIBUTE/GLOVDH","outreach_activities",0,1,"Mention of Database at IVS newsletter Issue 69","https://doi.org/10.5281/zenodo.10847991"
"CONTRIBUTE/GLOVDH","outreach_activities",1,1,NA,"https://ivscc.gsfc.nasa.gov/publications/newsletter/issue69.pdf"
"CONTRIBUTE/GLOVDH","presentations",0,1,"Towards an Integrated Database for Enhanced Monitoring and Optimization of IVS Observing Programs; 13th IVS General Meeting & 25th Anniversary, Tsukuba, Japan, 4-9 March 2024","https://gitlab.ethz.ch/spacegeodesy_public/glovdh_ord"
"CONTRIBUTE/GLOVDH","presentations",1,1,NA,"https://doi.org/10.5281/zenodo.10847991"
"CONTRIBUTE/GLOVDH","software_tools",0,1,"Software to collect, process and automatically upload IVS related statistics and files.",NA
"CONTRIBUTE/GLOVDH","websites_platforms",0,2,"Web Interface","https://glovdh.ethz.ch"
"CONTRIBUTE/GLOVDH","websites_platforms",1,2,"API","https://glovdh.ethz.ch/api/v1/docs"
"CONTRIBUTE/GPM-API","datasets_databases",0,0,"GPM Data Archive products are now available through GPM-API in CF-compliant format. They are also easily convertible as 1) Analysis-Ready Cloud-Optimized (ARCO) Zarr Format and as 2) geographically partitioned Apache Parquet Datasets.",NA
"CONTRIBUTE/GPM-API","estimated_users",0,600,"The GPM-API software has > 600 downloads/month. By personal knowledge, more than 20 researchers are already using the software outside ETH.",NA
"CONTRIBUTE/GPM-API","models_standards",0,1,"Reproducible colormaps and colorbars definitions through YAML files","https://pycolorbar.readthedocs.io/en/latest/"
"CONTRIBUTE/GPM-API","new_collaborations",0,0,"NASA GPM Validation Group",NA
"CONTRIBUTE/GPM-API","new_collaborations",1,0,"CNR ISAC HSAF",NA
"CONTRIBUTE/GPM-API","outreach_activities",0,4,"The GPM-API software has been included into the Open Radar Science Community. Blog posts will be published soon on TowardsDataScience, Pangeo and ProjectPythia.","https://openradar.discourse.group/"
"CONTRIBUTE/GPM-API","outreach_activities",1,4,NA,"https://towardsdatascience.com/"
"CONTRIBUTE/GPM-API","outreach_activities",2,4,NA,"https://projectpythia.org/"
"CONTRIBUTE/GPM-API","presentations",0,6,"Past presentations: AMS2023 Radar Conference, EUMETSAT Satellite Conference 2023, Swiss Geoscience Meeting 2023, NASA GPM Validation Group Meeting. Future confirmed presentations: EUMETSAT Satellite Conference 2024, ERAD2024, CNR-ISAC HSAF Group. Futures planned presentations: AMS Annual Meeting 2025, PrePEP2025 and EGU2025.","https://www.ametsoc.org/index.cfm/ams/meetings-events/ams-meetings/40th-conference-on-radar-meteorology/"
"CONTRIBUTE/GPM-API","presentations",1,6,NA,"https://www.eumetsat.int/eumetsat-meteorological-satellite-conference-2023"
"CONTRIBUTE/GPM-API","presentations",2,6,NA,"https://geoscience-meeting.ch/sgm2023/wp-content/uploads/abstracts/SGM_GPM-API_08-31-23-03-49-47.pdf"
"CONTRIBUTE/GPM-API","presentations",3,6,NA,"https://www.eumetsat.int/eumetsat-meteorological-satellite-conference-2024"
"CONTRIBUTE/GPM-API","presentations",4,6,NA,"https://www.erad2024.it/"
"CONTRIBUTE/GPM-API","presentations",5,6,NA,"https://annual.ametsoc.org/index.cfm/2025/"
"CONTRIBUTE/GPM-API","publications",0,1,"A manuscript is in preparation for submission to the Bulletin of American Meteorological Society (BAMS) describing GPM-API.","https://www.ametsoc.org/index.cfm/ams/publications/bulletin-of-the-american-meteorological-society-bams/"
"CONTRIBUTE/GPM-API","publications",1,1,"2 other manuscripts might be submitted in the coming months to the Journal of Open Source Software (JOSS) describing the ximage and pycolorbar software.",NA
"CONTRIBUTE/GPM-API","repositories_catalogues",0,3,"GPM-API Python Package","https://github.com/ghiggi/gpm_api"
"CONTRIBUTE/GPM-API","repositories_catalogues",1,3,"ximage Python Package","https://github.com/ghiggi/ximage"
"CONTRIBUTE/GPM-API","repositories_catalogues",2,3,"pycolorbar Python Package","https://github.com/ghiggi/pycolorbar"
"CONTRIBUTE/GPM-API","software_tools",0,3,"GPM-API Python Package","https://pypi.org/project/gpm-api/"
"CONTRIBUTE/GPM-API","software_tools",1,3,"pycolorbar Python Package","https://pypi.org/project/pycolorbar/"
"CONTRIBUTE/GPM-API","software_tools",2,3,"ximage Python Package","https://pypi.org/project/ximage/"
"CONTRIBUTE/GPM-API","websites_platforms",0,3,"GPM-API Documentation","https://gpm-api.readthedocs.io/en/latest/index.html"
"CONTRIBUTE/GPM-API","websites_platforms",1,3,"Ximage Documentation","https://x-image.readthedocs.io/en/latest/index.html"
"CONTRIBUTE/GPM-API","websites_platforms",2,3,"Pycolorbar Documentation","https://pycolorbar.readthedocs.io/en/latest/index.html"
"CONTRIBUTE/GPM-API","workshops",0,1,"ERAD 2024 – Open Radar Short Course",NA
"CONTRIBUTE/GRAND TOUR","datasets_databases",0,1,"The GrandTour Dataset. This is one of the main contributions of the project. The data is stored in the ETH Zurich server and accessible through the “Kleinkram” interface.","https://datasets.leggedrobotics.com/"
"CONTRIBUTE/GRAND TOUR","datasets_databases",1,1,"GrandTour dataset: Data collected with the GrandTour SensorBox in over 100 environments","https://github.com/leggedrobotics/grand_tour_box"
"CONTRIBUTE/GRAND TOUR","estimated_users",0,400,"ANYmal Research community already 300+ active members; with planned IEEE ICRA 2026 Workshop, plan to reach a wider baseline of community.",NA
"CONTRIBUTE/GRAND TOUR","estimated_users",1,400,"307 members in the ANYmal Research community potentially benefiting from ORD practices",NA
"CONTRIBUTE/GRAND TOUR","industrial_collaborations",0,1,"Collaborating with Leica Geosystems and Hexagon to utilize their devices for robotics and to extend the dataset.",NA
"CONTRIBUTE/GRAND TOUR","industrial_collaborations",1,1,"Collaboration with Leica Geosystems for the co-development of Boxi sensor payload",NA
"CONTRIBUTE/GRAND TOUR","new_collaborations",0,1,"Collaboration with University of Oxford, ORI-DRS lab under Prof. Maurice Fallon to extend the GrandTour dataset with overlapping regions of interest with established datasets.",NA
"CONTRIBUTE/GRAND TOUR","outreach_activities",0,2,"Organize a workshop in IEEE ICRA 2026 to bring together researchers from different robotics domains and discuss dataset/benchmark results; planned online seminar series about data usage.","https://www.anybotics.com"
"CONTRIBUTE/GRAND TOUR","outreach_activities",1,2,"ANYmal Research: A place to discuss about ANYmal. 307 Members 2 Admins 3 Moderators; community research support",NA
"CONTRIBUTE/GRAND TOUR","presentations",0,1,"Accepted publication titled 'Boxi: Design Decisions in the Context of Algorithmic Performance for Robotics' to be presented at RSS 2025 conference, June 20th-25th.","https://www.roboticsproceedings.org/rss21/p134.pdf"
"CONTRIBUTE/GRAND TOUR","presentations",1,1,"Boxi: Design Decisions in the Context of Algorithmic Performance for Robotics – RSS 2025 Poster Session",NA
"CONTRIBUTE/GRAND TOUR","publications",0,3,"A technical report of one of the data collection expeditions, A journal publication in International Journal of Robotics Research (IJRR) is currently underway, describing the dataset in question, A major publication, already accepted, describing the software & hardware and the motivation of the dataset collection.","https://www.hfsjg.ch/reports/2024/pdf/121_ETHZ_Frey.pdf"
"CONTRIBUTE/GRAND TOUR","publications",1,3,"Boxi: Design Decisions in the Context of Algorithmic Performance for Robotics. Robotics: Science and Systems Conference (RSS 2025)","https://www.roboticsproceedings.org/rss21/p134.pdf"
"CONTRIBUTE/GRAND TOUR","repositories_catalogues",0,4,"grand_tour_box: Main repository that contains the pre- and post- processing scripts, grand_tour_dataset: Contains simple examples on how to use the data and acts as a bridge between the developer team and the public, grand_tour_webpage: Front-end HTML for the webpage. Webpage itself is available to the public, grand_tour_benchmark: Backend for the localization benchmark. The benchmark itself is available to the public",NA
"CONTRIBUTE/GRAND TOUR","software_tools",0,3,"Data verification utilities (e.g., tools for matching gyroscope angular velocity), additional data post-processing modules extending existing software.","https://github.com/leggedrobotics/grand_tour_box"
"CONTRIBUTE/GRAND TOUR","software_tools",1,3,"Kleinkram: A structured bag and mcap storage solution with a python CLI",NA
"CONTRIBUTE/GRAND TOUR","software_tools",2,3,"Boxi software (code for Boxi sensor payload)",NA
"CONTRIBUTE/GRAND TOUR","training_events",0,1,"Collaboration with Leica Geosystems involving training on their devices and tutorials on robotic sensing integration with Robot Operating System.",NA
"CONTRIBUTE/GRAND TOUR","websites_platforms",0,3,"The project website (created from ground up for this project), Kleinkram data sharing web interface, localization benchmark interface via eval.ai for the GrandTour dataset","https://grand-tour.leggedrobotics.com/"
"CONTRIBUTE/GRAND TOUR","websites_platforms",1,3,"Kleinkram web interface, GrandTour Dataset Webpage","https://docs.datasets.leggedrobotics.com/"
"CONTRIBUTE/GRAND TOUR","websites_platforms",2,3,NA,"http://eval.ai/"
"CONTRIBUTE/GRAND TOUR","websites_platforms",3,3,NA,"https://github.com/leggedrobotics/grand_tour_box"
"CONTRIBUTE/GRAND TOUR","workshops",0,1,"The dataset will be presented at a conference workshop at IEEE ICRA 2026 in Vienna.",NA
"CONTRIBUTE/GRAND TOUR","datasets_databases",0,1,"High-altitude multi-sensor dataset collected using ANYmal D with Boxi sensor suite at Jungfraujoch (3580 m), covering 15 deployments across varied environments (outdoor snow/ice, glacier interiors, tunnels, industrial spaces) with synchronized LiDAR, camera, IMU, GNSS, and ground-truth data. Designed to assist research in localization, mapping, and control for legged robots in extreme conditions. Planned for public release with calibration files and environmental logs.",NA
"CONTRIBUTE/GRAND TOUR","publications",0,1,"Frey, J. et al. “Boxi: Design Decisions in the Context of Algorithmic Performance for Robotics”. RSS (2025). Under review.",NA
"CONTRIBUTE/GRAND TOUR","datasets_databases",0,3,"Dynamic dataset for creating splats",NA
"CONTRIBUTE/GRAND TOUR","datasets_databases",1,3,"Datasets collected for Global Localization, the Master's Thesis of Linus Kramer; Datasets include structured environments with some self-similar regions.",NA
"CONTRIBUTE/GRAND TOUR","datasets_databases",2,3,"PLR project for LiDAR-Camera-RADAR fusion (also IMU data and extrinsics available) collected with the perception stick",NA
"CONTRIBUTE/GRAND TOUR","datasets_databases",0,9,"Mountain Ascend dataset, a paired multi-camera dataset enabling algorithmic development and future studies",NA
"CONTRIBUTE/GRAND TOUR","datasets_databases",1,9,"GrandTour dataset with high-quality ground truth reference data",NA
"CONTRIBUTE/GRAND TOUR","datasets_databases",2,9,"Hike: The robot descends and then ascends on loose gravel in a very large environment where optimization degradation [72] might occur. The robot traverses 330 m in 405 s.",NA
"CONTRIBUTE/GRAND TOUR","datasets_databases",3,9,"Warehouse: This dataset consists of the robot walking within a confined warehouse starting from the outdoor court. The environment features items, shelves, and a roll-up door for feature-based state estimation problems. The robot traverses 202 m in 370 s.",NA
"CONTRIBUTE/GRAND TOUR","datasets_databases",4,9,"Research Station: Acting as a simple dataset, the robot walks outside a research station featuring industrial metal stairs on an elevated metal grid platform. In this dataset, the robot traverses 210 m in 262 s.",NA
"CONTRIBUTE/GRAND TOUR","datasets_databases",5,9,"Excavation Site: In this outdoor dataset, the robot walks around an operating excavator. This dataset contains large stones, water pits, small dirt roads, and construction site containers, which bring unique features. The robot traverses 262 m in 200 s.",NA
"CONTRIBUTE/GRAND TOUR","datasets_databases",6,9,"Terrace: This dataset covers the robot walking from a cog railway station onto a terrace towards a large university building where limited features are available for short-range sensors while features are in abundance for large-scale perception. The robot traverses 200 m in 283 s seconds.",NA
